Word,Clue
PERIODS,Partially burns
PERIWIG,Scorches
PERJURE,"Sears, burns"
PERJURY,Graph
PERKILY,"Graph, diagram"
PERKINS,Large map
PERLMAN,Map
PERMING,Marine map
PERMITS,Nautical map
PERPLEX,Navi^ga^tion map
PERRIER,Plot
PERSEUS,Sea map
PERSIAN,Careful
PERSIST,Cautious
PERSONA,Guarded
PERSONS,Circumspect
PERSPEX,"Chevy _, US comedy actor"
PERTAIN,Follow after
PERTURB,Follow rapidly and try to catch
PERTWEE,Hot pursuit
PERUSAL,Pursue
PERUSED,Pursuit
PERUSER,Run after
PERUSES,Run in hot pursuit
PERVADE,Abyss
PERVERT,Deep opening in the ground
PESTERS,Gaping hollow
PETERED,Great divide
PETHATE,Very deep cleft in the ground
PETNAME,Yawning gap
PETRELS,Converses
PETRIFY,Gossips
PETSHOP,Speaks in^for^mal^ly
PETUNIA,Talks
PEUGEOT,Small Surrey town west of Sutton
PFENNIG,Inexpensive
PHAEDRA,Low in price
PHAETON,Low-cost
PHALANX,Low-priced
PHANTOM,Not expensive
PHARAOH,Opposite of 'ex^pen^sive'
PHARYNX,"Vulgar, de^spic^able"
PHASING,Be dishonest
PHEONIX,Be fraudulent
PHILLIP,Be unfaithful
PHILTRE,Breaker of game-rules
PHLOXES,"Deceive, play unfairly"
PHOBIAS,Deceiver
PHOENIX,"Defraud, swindle"
PHONEIN,Evade the rules
PHONEME,Play unfairly
PHONICS,Someone who plays unfairly
PHONIER,Swindle
PHONING,Swindler
PHRASES,"Swindler, deceiver"
PHVALUE,Trickster
PHYLLIS,Unfair player
PHYSICS,Use trickery
PIANIST,Curb
PIANOLA,Examine
PIAZZAS,Examine for cor^rect^ness
PICADOR,"Examine, inspect"
PICARDY,Halt
PICASSO,Inspect
PICCOLO,Inspect for cor^rect^ness
PICKAXE,Look for mistakes
PICKETS,Make sure
PICKETT,Pattern of squares
PICKING,Restrain
PICKLED,"Restrain, hinder"
PICKLER,"Stop, prevent"
PICKLES,Verify
PICKOUT,Audacity
PICNICS,Effrontery
PICTURE,Either side of the face below the eye
PIEBALD,Impudence
PIEEYED,Nerve
PIERCED,"Nerve, impudence"
PIERCES,"Rudeness, dis^res^pect"
PIERROT,Temerity
PIGALLE,Bird noise
PIGEONS,Shrill squeaky cry of a bird
PIGGERY,Twitter
PIGGIES,Cry of a baby bird
PIGGLEY,Cry of a young bird
PIGGOTT,Tweet
PIGIRON,Applaud
PIGLETS,Crowd's cry of approval
PIGMENT,Cry of approval
PIGSEAR,Gladden
PIGSKIN,Gladness
PIGTAIL,Happy cry
PIKACHU,Happy cry of approval
PIKELET,Hurrah
PILATES,Make less sad
PILBARA,Shout en^cour^age^ment
PILCROW,Shout for joy
PILFERS,Shout 'hurrah'
PILGRIM,Shout of approval
PILLAGE,Shout of joy
PILLARS,Shout of praise or en^cour^age^ment
PILLBOX,Spec^ta^tor's cry of approval
PILLION,Support vocally
PILLOCK,Cooks
PILLORY,Culinary experts
PILLOWS,Head cooks
PILOTED,Master cooks
PILSNER,1986 Tim Rice/Benny Andersson musical
PIMLICO,Board-game
PIMPLED,Board-game for two players
PIMPLES,Board-game with bishops and pawns
PINBALL,Board-game with pawns and rooks
PINCERS,Cerebral board-game
PINCHED,Classic board-game
PINCHES,Complex board-game
PINDOWN,Game of strategy
PINENUT,Game with pawns and knights
PINETUM,"Game with pawns, knights and rooks"
PINHEAD,In^tel^lectual board-game
PINHOLE,Tactical board-game
PINIONS,Box con^tain^ing hidden treasure
PINKGIN,Coffer
PINKING,Con^tain^er for treasure
PINKISH,Front upper body
PINNACE,Large solid box
PINNATE,Large storage box
PINNIES,Large strongbox
PINNING,Large strong storage box
PINNOCK,Pirate's treasure box
PINSENT,Strongbox
PINTADO,Trunk
PINTAIL,"Trunk, large storage box"
PINTPOT,Crushes (food) between the teeth
PIONEER,Grinds (food) with the teeth
PIOUSLY,Masticates
PIPETTE,"Munches (gum, eg)"
PIQUANT,"In texture, like toffee"
PIRAEUS,Sticky to eat
PIRANHA,Baby bird
PIRATED,Baby hen
PIRATES,Young bird
PISCEAN,Young fowl
PISTOLS,Young hen
PISTONS,One of the Marx Brothers
PITAPAT,Oldest of the Marx Brothers
PITBULL,"Rebuke, admonish"
PITCHED,Reprimand
PITCHER,"Boss, leader"
PITCHES,Foremost
PITCHIN,Head person
PITEOUS,Leader
PITFALL,Leader of a tribe
PITHEAD,Leader of a tribe or clan
PITIFUL,"Leader, prin^ci^pal person"
PITPONY,Leading
PITPROP,Main
PITSTOP,"Main, most im^port^ant"
PITYING,Primary
PIVOTAL,Principal
PIVOTED,Tribal leader
PIZZAZZ,Infant
PJPROBY,Offspring
PLACARD,Son or daughter
PLACATE,Toddler
PLACEBO,Young person
PLACIDO,Youngster
PLACING,Country that administers Easter Island
PLAGUED,Country whose capital is Santiago
PLAGUES,South American country
PLAINER,"South American country, capital Santiago"
PLAINLY,Val^pa^raiso's country
PLANETS,Coldness
PLANING,Cool
PLANNED,Make cold
PLANNER,"Cool, lower the temperature of"
PLANTED,Refrigerate
PLANTER,Slight cold
PLANXTY,Slight fever
PLAPPER,Bell sound
PLAQUES,Har^mo^ni^ous sound of bells
PLASTER,Peal
PLASTIC,Peal of a bell
PLATEAU,Ring of a bell
PLATING,Ringing sound
PLATOON,Sound of a bell
PLATTER,Suc^ces^sion of bell-like notes
PLAUDIT,Tubular bell
PLAYACT,Common name for an African ape
PLAYBOY,Articles of por^cel^ain
PLAYDOH,Asian country south of Mongolia
PLAYERS,Beijing's country
PLAYFUL,Country once called Cathay
PLAYGOD,Most populous country in the world
PLAYING,Fine por^cel^ain
PLAYLET,Porcelain
PLAYOFF,Fine delicate pottery
PLAYPEN,World's most populous nation
PLEADED,World's most populous country
PLEADER,Animal's backbone
PLEASED,"Crack, opening"
PLEASES,"Narrow opening, slit"
PLEATED,Tiny gap
PLEDGED,"<i>Goodbye, Mr</i> _, Robert Donat film"
PLEDGES,"Fish and _, popular meal"
PLENARY,French fries
PLIABLE,Fried pieces of potato
PLIANCY,Gambling counters
PLINTHS,"_ <i>with Everything</i>, Arnold Wesker play"
PLODDED,Bird call
PLODDER,Cry of a bird
PLONKER,Make a noise like a bird
PLOPPED,Sound of birds
PLOSIVE,Tweet
PLOTTED,Little tickets
PLOTTER,Vouchers
PLOUGHS,Herb re^sem^bling a small leek
PLOVDIV,Plant of the onion family
PLOVERS,Onion-like plant
PLUCKED,Plant with long thin leaves used as a herb
PLUGGED,Church singers
PLUMAGE,Company of singers
PLUMBED,Group of singers
PLUMBER,Singing group
PLUMMER,Vocal group
PLUMMET,Clog (up)
PLUNDER,Congest
PLUNGED,Cough and splutter
PLUNGER,Stifle
PLUNGES,Strangle
PLUVIAL,Throttle
PLYWOOD,Munch noisily
POACHED,Cuts into pieces
POACHER,Cuts of meat
POACHES,Karate blows
POCKETS,"Pork _, meat portions with a bone"
PODCAST,Uses an axe
POEHLER,Com^bin^ation of notes
POETESS,Simultaneous playing of notes of different pitches
POFACED,Bur^den^some task
POINTED,Household task
POINTER,Routine household task
POISONS,Routine task
POITIER,Tedious routine task
POLARIS,Opted for
POLDARK,Picked
POLEAXE,Selected
POLECAT,Settled upon
POLEMIC,Variety of pastry used for eclairs
POLENTA,"_ Evert, 1970s tennis champion"
POLICED,Device for holding a tool in a drill
POLITIC,Fling
POLLACK,Drill part which holds the bit
POLLARD,Engine noises
POLLING,Makes a noise like that of a train or steamboat
POLLOCK,Blockhead
POLLTAX,Foolish person
POLLUTE,Buddies
POLYGON,Companions
POLYMER,Friends
POMADES,Pals
POMPEII,"Block (of wood, eg)"
POMPOMS,"Large lump (of wood, eg)"
POMPOUS,Lump (of wood)
PONDERS,"Slab, large lump"
PONTIAC,"Thick piece (of bread, eg)"
PONTIFF,Ill-bred person
PONTOON,Butter machine
POOCHES,Large milk can in which milk is brought to the creamery
POODLES,Large milk con^tain^er
POOHBAH,Large milk can
POOLING,Machine for making butter
POOREST,Milk con^tain^er
POPADUM,Metal milk can
POPCORN,"Seethe, swirl"
POPLARS,Chil^dren's slide
POPPERS,Flume
POPPIES,Laundry slide
POPPING,Slide
POPPINS,Sliding trough
POPSONG,Sloping trough
POPSTAR,Sloping trough to slide things down
POPULAR,Water slide
PORCHES,"_ <i>with Rosie</i>, novel by Laurie Lee"
PORCINE,Alcoholic apple drink
PORCINI,Alcoholic drink made from apples
PORKERS,Apple-based drink
PORKIES,Drink made from apples
PORKPIE,Drink made from fermented apple juice
PORSCHE,Fermented apple drink
PORTAGE,Fermented apple juice
PORTALS,Scrumpy
PORTEND,"_ <i>with Rosie</i>, Laurie Lee book"
PORTENT,Cheroot
PORTERS,"Cheroot, eg"
PORTHOS,Church^ill's smoke
PORTICO,Compact roll of tobacco leaves for smoking
PORTION,Havana smoke
PORTMAN,"Havana, cheroot, etc"
PORTRAY,"Panatella, eg"
PORTREE,Roll of tobacco leaves
PORTSEA,Roll of tobacco leaves for smoking
POSEURS,Tobacco product
POSITED,Certainty
POSSESS,Easy task
POSSUMS,Some^thing easy
POSTAGE,"_ Crawford, 1990s super^model"
POSTBAG,Ap^proxi^mate^ly
POSTBOX,Latin word meaning 'around'
POSTERN,Of an ap^proxi^mate date
POSTERS,Round about
POSTING,Quoted
POSTMAN,Legally named
POSTMEN,Mentioned as an instance
POSTURE,Named in court
POSTWAR,Summoned to appear in court
POTABLE,Subpoenaed
POTCHER,Adduces as proof
POTENCY,Names in court
POTHERB,Quotes
POTHOLE,Subpoenas
POTIONS,Asian cat-like mammal
POTLUCK,Musky perfume from an animal
POTOMAC,Small cat-like carnivore
POTOROO,Honda model
POTSDAM,Municipal
POTSHOT,Of a town
POTTAGE,Per^tain^ing to a town
POTTERS,Courteous
POTTERY,"Of law cases, non-criminal"
POTTING,Of the state
POUCHES,Polite
POUFFES,Well-mannered
POULENC,"_ service, gov^ern^ment workers"
POULTRY,"_ war, conflict between people of the same country"
POUNCED,Sound made by one hard object hitting another
POUNCES,Allege
POUNDED,Assert ownership of
POURING,Declare your en^title^ment to
POUSSIN,Demand
POUTINE,Demand as a right
POUTING,In^sur^ance demand
POVERTY,Profess
POWDERS,State your en^title^ment to
POWDERY,Device to prevent vehicles moving
POWERED,Grip tightly
PRAETOR,Gripping appliance
PRAIRIE,Gripping device
PRAISED,Holding device
PRAISES,Immobilising device used on illegally parked cars
PRALINE,Vice
PRANCED,Wheel lock
PRANCER,Edible shellfish
PRANCES,Shellfish
PRATTLE,Chime
PRAYERS,Knell
PRAYING,Resonant metallic sound
PREACHY,Re^ver^ber^ation
PRECAST,Sound of a bell
PRECEDE,Harsh metallic sound
PRECEPT,Sharp metallic sound
PRECISE,Sound made by chains
PRECOOK,Groups of re^la^tives
PREDATE,Highland groups
PREDICT,Applauds
PREEMPT,Demonstrates approval by using the hands
PREENED,Hits the hands together
PREFABS,Shows approval with the hands
PREFACE,County in Ireland
PREFECT,Irish county south of Galway
PREFERS,"_ Gable, Hollywood star"
PREFORM,"_ Kent, Super^man's alias"
PREHEAT,"_ Kent, real name of Superman"
PRELATE,Plant of the <i>Salvia</i> genus
PRELUDE,Conflict
PREMIER,Confrontation
PREMISE,Strike noisily together
PREMIUM,Dif^fer^ence of opinion
PREPAID,"Fight, argument"
PREPARE,"Of colours, look wrong together"
PREPAYS,Sound of cymbals
PREQUEL,Brooch fastener
PRESAGE,Buckle
PRESENT,Embrace
PRESETS,Fastener
PRESIDE,Grip
PRESLEY,Hold tightly
PRESSED,Hug
PRESSES,Jewellery hook
PRESSON,Metal fastener
PRESSUP,Necklace fastening
PRESTER,"<i>A Touch of</i> _, Glenda Jackson film"
PRESTON,Group of pupils
PRESUME,Group of school^chil^dren
PRETEND,Group of students
PRETEXT,Group taught together
PRETZEL,School form
PREVAIL,School group
PREVENT,Social level
PREVIEW,Social status
PREWASH,Social standing
PRICIER,Animals' sharp toenails
PRICKED,Birds' sharp toenails
PRICKLE,Injures with the talons
PRICKLY,Lacerates
PRIESTS,"Scratches, mauls"
PRIMACY,Talons
PRIMARY,Dirt-free
PRIMATE,Free from dirt
PRIMERS,Free from dirt and im^pur^ities
PRIMING,Hygienic
PRIMULA,Not dirty
PRINCES,Opposite of 'dirty'
PRINGLE,Purify
PRINTED,Remove dirt
PRINTER,Sanitary
PRIORTO,Scrub
PRISING,Spotless
PRISONS,Unsoiled
PRITHEE,Unsullied
PRIVACY,Untarnished
PRIVATE,Wash
PRIVETS,Washed
PRIZING,Cloudless
PROBATE,Easily under^stood
PROBING,Evident
PROBITY,Exonerate
PROBLEM,Free from ob^struc^tion
PROCEED,Limpid
PROCESS,Lucid
PROCTOR,Obvious
PROCURE,Plain
PROCYON,Transparent
PRODDED,Unblocked
PRODIGY,Unobstructed
PRODUCE,Piece of metal on a ship to which ropes are attached
PRODUCT,Rope-fastening at^tach^ment
PROFANE,Rope-tie
PROFESS,Former narrow-faced golf club
PROFFER,Old long-shafted golf iron
PROFILE,Former number-one golf iron
PROFITS,Music symbols
PROFUMO,Musical symbols to indicate pitch
PROFUSE,Symbols on a stave
PROGENY,Crack
PROGRAM,Crevice
PROJECT,Fissure
PROLONG,Split
PROMISE,Desk worker
PROMOTE,Low-ranking office worker
PROMPTS,Office worker
PRONGED,Office worker who keeps records and accounts
PRONOUN,Become suddenly clear
PROOFED,Fall into place
PROPANE,Fit into place
PROPELS,Snap (your fingers)
PROPHET,Coastal feature
PROPJET,Coastal feature rising high above the sea
PROPOSE,Coastal rock face
PROPPED,Escarpment
PRORATA,Precipice
PROSAIC,Pre^cipit^ous slope
PROSODY,Rock face
PROSPER,Sheer headland
PROTECT,Steep rock face
PROTEGE,"Steep rock face, especially on the coast"
PROTEIN,Steep rock face by the sea
PROTEST,Ascend
PROUDLY,Ascend (a hill)
PROVERB,Ascent
PROVIDE,Mount
PROVING,Go up
PROVISO,Go up (a hill)
PROVOKE,Rise
PROVOST,Scale
PROWESS,Scale (a ladder)
PROWLED,"_ <i>Ev'ry Mountain</i>, song"
PROWLER,"_ <i>Ev'ry Mountain</i>, song from <i>The Sound of Music</i>"
PROXIMO,Adhere (to)
PRUDENT,Hold on
PRUDERY,Hold on tightly
PRUDISH,Hold tightly
PRUNING,Remain per^sist^ent^ly attached (to)
PRUSSIA,Stick closely
PSALMIC,"Stick, remain attached (to)"
PSALTER,Variety of peach
PSYCHIC,Prison
PTOLEMY,"_ Eastwood, <i>Play Misty for Me</i> actor"
PUBERTY,"_ Eastwood, actor"
PUBGRUB,"_ Eastwood, US actor"
PUBLISH,Devices for holding things together
PUBQUIZ,Fasteners
PUCCINI,Short extracts of film
PUCKERS,Hair grips
PUCKISH,Trims
PUCKOON,"_ Dunn, <i>Dad's Army</i> actor"
PUDDING,"Cam^ou^flage, conceal"
PUDDLES,Cape
PUERILE,"Disguise, conceal"
PUFFIER,Large cape
PUFFING,"Mask, obscure"
PUFFINS,Sleeve^less outer garment
PUGWASH,"<i>Rock around the</i> _, 1950s song"
PULLETS,Chronometer
PULLEYS,Device for measuring the passage of time
PULLING,Instrument that measures time
PULLMAN,Instrument for measuring time
PULLOUT,Time-teller
PULPITS,Timepiece
PULSARS,Lumps of earth
PULSATE,Pieces of turf
PUMMELS,Blocks
PUMPING,Blocks up
PUMPKIN,Congests
PUNCHED,Obstructs
PUNCHES,Wooden shoes
PUNCHUP,Duplicate
PUNDITS,Exact copy
PUNGENT,Genetic replica
PUNIEST,"<i>A _ Shave</i>, Wallace and Gromit film"
PUNJABI,"Glenn _, <i>Fatal At^trac^tion</i> star"
PUNNETS,"Glenn _, US actress"
PUNNING,Muggy
PUNSTER,Near
PUNTERS,Nearby
PUPATED,Opposite of 'open'
PUPATES,Shut
PUPPETS,"Stuffy, muggy"
PUPPIES,"_ <i>Encounters of the Third Kind</i>, 1977 sci-fi film"
PURCELL,Fabric
PURGING,"Material, fabric"
PURISTS,Material used to make garments
PURITAN,"Material, gen^er^al^ly"
PURLIEU,Piece of material
PURLOIN,Textile
PURPORT,Woven fabric
PURPOSE,Coagulates
PURRING,Congeals
PURSERS,So^lidi^fied matter in lumps
PURSUED,Cumulus
PURSUER,Fluffy object in the sky
PURSUES,"Darken, dim"
PURSUIT,Fluffy or feathery sky feature
PURVEYS,Mass of water droplets in the sky
PUSHILY,Mass of water particles
PUSHING,"Nimbus or cumulus, eg"
PUSHKIN,Obscure
PUSHROD,Obscure (an issue)
PUSHUPS,"On _ nine, elated"
PUTAWAY,"Blow, cuff"
PUTDOWN,Cuff
PUTREFY,Hit
PUTTEES,Hit or in^flu^ence
PUTTERS,Influence
PUTTING,Strike
PUTUPON,Thump
PUZZLED,Aromatic spice
PUZZLER,Tree which yields an aromatic spice used when mulling wine
PUZZLES,Section of garlic
PYJAMAS,"<i>Cathy's</i> _, Everly Brothers song"
PYRAMID,Buffoon
PYRAMUS,Chil^dren's en^ter^tainer
PYRITES,Circus comedian
PYRRHIC,Circus funny man
PYTHONS,Circus per^form^er
QUACKED,Funny circus per^form^er
QUAFFED,Joker
QUAILED,Painted circus fool
QUAKERS,Red-nosed joker
QUAKING,"Nau^se^ates, sickens"
QUALIFY,Associations
QUALITY,Black playing-cards
QUANGOS,Black suit in cards
QUANTUM,Cudgels
QUARREL,Golfer's sticks
QUARTAN,Suit in a deck of cards
QUARTER,Sticks used to play golf
QUARTET,Sound of a hen
QUASARS,Hen noise
QUASHED,Sound of a chicken
QUASHES,Facts used by a de^tect^ive
QUAVERS,Helpful hints
QUAVERY,Detective's pieces of evidence
QUECHUA,Hints for solving puzzles
QUEENLY,Hints to help solve puzzles
QUELLED,"Pointers, tips"
QUENTIN,"Pointers, tips for solving puzzles"
QUERIED,Puzzle-solving aids
QUERIES,Pieces of evidence found at a crime scene
QUETZAL,Compacted mass
QUEUEUP,Thick mass
QUEUING,Tuft
QUIBBLE,Adhered (to)
QUICHES,Held on
QUICKEN,Held on ten^aciously
QUICKER,Dull metallic sound
QUICKIE,Dull metallic thud
QUICKLY,"Thump, thud"
QUIDSIN,Former county of North Wales
QUIETEN,"<i>Bonnie and</i> _, 1967 film"
QUIETER,"<i>Bonnie and</i> _, film"
QUIETLY,Glasgow's river
QUILPIE,Scottish river
QUILTED,Athletics teacher
QUINCES,Bus
QUININE,Bus for tourists
QUINTET,Carriage
QUIPPED,Long-journey passenger vehicle
QUITESO,Passenger vehicle
QUITTER,Private sports tutor
QUIVERS,Private tutor
QUIXOTE,Single-decker bus
QUIZZED,Single-decker comfy bus
QUIZZES,Sports trainer
QUONDAM,"Train, es^pe^cial^ly in sport"
QUORATE,Trainer
QUORUMS,Tutor for exams
QUOTING,Black lumps for burning
RABBITS,Freewheel
RABIDLY,Land that is nearest the sea
RACCOON,Seashore
RACHAEL,"Cruise, freewheel"
RACIEST,Shoreline
RACISTS,Travel downhill without effort
RACKETS,"_ along, freewheel"
RACQUET,South American raccoon
RADDLED,Raccoon-like animal
RADIANT,Garments for outdoors
RADIATE,Layers (of paint)
RADICAL,Outer garments
RADICLE,Winter garments
RADIOED,Dan^ger^ous snake
RAEBURN,Deadly snake
RAFFISH,Deadly hooded snake
RAFFLES,Highly venomous hooded snake
RAFTERS,Highly venomous snake
RAFTING,Hooded venomous snake of India
RAGDOLL,Hooded serpent
RAGGEDY,Hooded snake
RAGTIME,Hooded snake of India
RAGWEED,Hooded venomous snake
RAGWEEK,Venomous snake of India and Africa
RAGWORM,Snake with a dis^tinct^ive hooded neck
RAGWORT,Venomous snake
RAIDERS,Makes (a gun) ready for firing
RAIDING,Male birds
RAILCAR,Male fowl
RAILING,Roosters
RAILMAN,Arrogant
RAILMEN,Bumptious
RAILWAY,Self-im^port^ant
RAIMENT,Swollen-headed
RAINBOW,Too clever by half
RAINIER,Overly self-con^fi^dent
RAINING,Bedtime drink
RAINMAN,Beverage
RAISING,Choc^olate drink
RAISINS,Choc^olate powder
RAKEDIN,Choc^olate-flavoured milky drink
RAKEOFF,Choc^olate-based drink
RALEIGH,Drink made from the powdered seeds of a tree
RALLIED,Hot beverage
RALLIES,Hot choc^olate drink
RAMADAN,Night-time beverage
RAMBLED,Night-time drink
RAMBLER,Final sections in music
RAMBLES,Musical tailpieces
RAMEKIN,Passages at the end of musical pieces
RAMESES,Ciphered
RAMMING,Encrypted
RAMONES,Expressed in cipher
RAMPAGE,In cipher
RAMPANT,Put into a cipher
RAMPART,Written in cipher
RAMRAID,Ciphers
RAMRODS,Hidden messages
RANAMOK,Entwines
RANAWAY,Loops
RANCHER,"Loops, twists"
RANCHES,Spirals
RANCOUR,Whorls
RANDALL,Winds in rings
RANGERS,Pieces of money
RANGIER,"<i>Three _ in the Fountain</i>, hit for Frank Sinatra"
RANGOFF,Loose change
RANGOON,Metal currency
RANINTO,Metal money
RANKERS,Abdominal com^plaint
RANKING,Abdominal pain frequently suffered by babies
RANKLED,Abdominal pain
RANKLES,In^tes^tinal com^plaint
RANSACK,Severe pain in the abdomen
RANSOME,"_ Dexter, creator of Inspector Morse"
RANSOMS,East Lan^ca^shire town
RANTING,East Lancashire town adjoining Nelson
RANTZEN,Double-dot punc^tu^ation mark
RANULPH,Double-dot text mark
RAPHAEL,Lower large intestine
RAPIDLY,Main part of the large intestine
RAPIERS,"Part of the large intestine, or a punctuation mark"
RAPPORT,Punc^tu^ation mark
RAPTURE,Revolvers named after the inventor
RAREBIT,Western revolvers
RAREGAS,Young horses
RASCALS,Young male horses
RASHERS,Hair^dress^ing tools
RASPING,"Scours, searches"
RASTRUM,Toothed items for untangling hair
RATAFIA,"<i>Here _ the Sun</i>, Beatles song"
RATATAT,Arrives
RATCHET,Draws near
RATECAP,Celestial body
RATINGS,Celestial body with a luminous tail
RATIONS,"Hale-Bopp, eg"
RATPACK,"Halley's _, heavenly body"
RATRACE,Heavenly body with a luminous tail
RATTIER,Heavenly body with an eccentric orbit and a luminous tail
RATTLED,Luminous-tailed heavenly body
RATTLER,Object in the sky with a bright tail
RATTLES,Tailed heavenly body
RATTRAP,"Snug, secure"
RAUCOUS,"Pleasant, snug"
RAUNCHY,Snug
RAVAGED,"<i>The Beano</i>, eg"
RAVAGES,Amusing
RAVENNA,Amusing person
RAVINES,Cartoon magazine
RAVIOLI,Cartoon magazine for children
RAWDEAL,Child's magazine
RAWHIDE,Child's paper
RAWNESS,Chil^dren's magazine
RAYMOND,Chil^dren's magazine with pictures
REACHED,Farcical
REACHER,Funny
REACHES,Funny magazine
REACTED,Funny paper
REACTOR,Funny person
READERS,Humorous
READIED,Jester
READIER,Joke-teller
READIES,Brown and orange but^ter^fly
READILY,But^ter^fly or punc^tu^ation mark
READING,Mid-sentence break
READMIT,Mid-sentence mark
READOUT,Punc^tu^ation mark
REAGENT,Punctuation mark signifying a pause
REALALE,Punctuation mark separating a list of items
REALIGN,But^ter^fly species
REALISE,"_ <i>the Barbarian</i>, 1981 Schwarzenegger film"
REALISM,"Sir Arthur _ Doyle, author of the Sherlock Holmes stories"
REALIST,Large shell
REALITY,Name given to certain shells
REALTOR,Seashell often used as a trumpet
REAMERS,Spiral seashell
REAMING,Ice-cream holders
REAPERS,Lane markers
REAPING,Objects used to separate traffic lanes
REAPPLY,Dance involving a line of people
REARDON,Follow-my-leader dance
REARING,Latin American line dance
REARMED,Party dance
REASONS,South American dance of African origin
REBATED,Central African river
REBATES,Second-longest river in Africa
REBECCA,W African country
REBIRTH,West African country
REBOOTS,North Wales castle
REBOUND,North Wales town and river
REBUFFS,Chefs
REBUILD,Kitchen workers
REBUILT,Makes a meal
REBUKED,People who prepare food
REBUKES,Prepares a meal
RECALLS,Prepares food for eating
RECANTS,Chills
RECASTS,Gets less hot
RECEDED,Loses heat
RECEDES,Refrigerates
RECEIPT,Cages for chickens or pigeons
RECEIVE,Chicken pens
RECIPES,Poultry pens
RECITAL,Aquatic birds
RECITED,Water-birds similar to moorhens
RECITES,Small waterfowl of the rail family
RECKONS,Waterfowl
RECLAIM,Hard resin
RECLINE,Got by
RECLUSE,Muddled through
RECOILS,Just about managed
RECORDS,"Survived, managed"
RECOUNT,Managed suc^cess^fully
RECOUPS,Gets by
RECOVER,Manages
RECROSS,Somehow manages
RECRUIT,Struggles through
RECTIFY,"Manages, survives"
RECTORS,Dried coconut 'meat'
RECTORY,Dried coconut flesh
RECYCLE,Dried flesh of the coconut
REDARMY,Group of trees
REDBACK,Small wood
REDBULL,Small wooded area
REDCAPS,Spinney
REDCARD,Thicket
REDCOAT,Christian descendants of the ancient Egyptians
REDDAWN,Atoll sub^stance
REDDEER,Pinkish-orange colour
REDDENS,Hard material made by tiny aquatic animals
REDDEST,Hard substance produced by tiny aquatic animals
REDDING,"Hard, pinkish-red, marine growth"
REDDISH,Marine creature which secretes a hard reef-forming substance
REDEEMS,Marine reef growth
REDFACE,Ocean's reef material
REDFLAG,Orange-pink colour
REDFORD,Reef material
REDHAND,Reef sub^stance
REDHEAD,Sea creature forming reefs
REDHILL,Shade of pink
REDLION,Ribbed trousers
REDMEAT,Strings
REDMOND,Thin ropes
REDNESS,Elec^tric flexes
REDNOSE,Removed the centre from (an apple)
REDOING,Utensil for removing the centre of an apple
REDOUBT,Central parts
REDPOLL,Middles
REDRAFT,Innermost parts
REDRAWN,Removes the centre from (a fruit)
REDRAWS,Greek holiday island
REDRESS,Greek island
REDROCK,Greek tourist island
REDROSE,Holiday island in the Ionian Sea
REDRUTH,Island in the Ionian Sea
REDTAPE,Island off the west coast of Greece
REDUCED,Northernmost of the Greek islands
REDUCES,Breed of dog favoured by the Queen
REDWINE,Queen's favourite breed of dog
REDWING,Queen's favourite dog
REDWOOD,Royal dog
REEDBED,Short-legged breed of dog
REEFERS,Small breed of dog
REEKING,Stocky little dog
REELECT,Welsh breed of dog
REELING,Welsh breed of dog favoured by the Queen
REELOFF,Bottle stoppers
REENACT,Seals (a wine bottle)
REENTER,Stoppers
REENTRY,Foot ailments
REFEREE,"Banal, hackneyed"
REFILLS,"Banal, feeble"
REFINED,"Trite, pre^dict^able"
REFINER,Trite
REFINES,French land^scape painter
REFLATE,French landscape painter 1796-1875
REFLECT,"Jean-Baptiste Camille _, French artist"
REFLOAT,Army unit
REFOCUS,"Esprit de _, feeling of soli^dar^ity"
REFORMS,Military unit
REFRACT,Tactical army unit
REFRAIN,"_ Brava, Spanish resort region"
REFRAME,"_ Brava, tourist area"
REFRESH,"_ Rica, Central American republic"
REFUELS,"_ Rica, republic"
REFUGEE,"_ del Sol, Spanish holiday region"
REFUGES,Estimates the price of
REFUNDS,Expenses
REFUSAL,Liti^ga^tion charges
REFUSED,Prices
REFUSES,Legal expenses
REFUTAL,Shelters for pigeons
REFUTED,Doves' homes
REFUTES,Comfy piece of furniture
REGAINS,Divan
REGALED,Psych^iatrist's sofa
REGALES,Settee
REGALIA,Sofa
REGALLY,"Sofa, settee"
REGARDS,Coarse grass
REGATTA,Ac^com^pani^ment to a cold
REGENCY,Clear the throat
REGENTS,"Hack, splutter"
REGIMEN,Splutter
REGIMES,Might be able to
REGIONS,Was able to
REGNANT,"<i>The _ of Monte Cristo</i>, 1934 swashbuckler"
REGRESS,Add up
REGRETS,Ar^is^to^crat^ic title
REGROUP,De^ter^mine how many
REGULAR,Dracula's title
REGULUS,European aristocratic title equivalent to 'earl'
REHEATS,European nobleman
REHIRED,Reckon
REHOUSE,"_ Basie, jazz band leader"
REIGATE,Rely (on)
REIGNED,Ice-cream dessert
REISSUE,Car with two doors and a fixed roof
REJECTS,Two-seater carriage or car
REJOICE,Two-door covered car
REJOINS,Armed takeovers
RELAPSE,Master strokes
RELATED,Power seizures
RELATES,Takeovers
RELAXED,Judicial building
RELAXES,Legal building
RELAYED,Monarch's entourage
RELEASE,Place of justice
RELENTS,Place where law cases are tried
RELIANT,Place with a judge and a jury
RELICTS,Playing area for tennis
RELIEVE,"Seek, invite"
RELIVED,Trial venue
