Word,Clue
FLU,"Sir _ Ramsey, England's 1966 soccer boss"
FLY,TV's Mr Garnett
FOB,"_ Garnett, TV bigot"
FOE,"_ Garnett, TV loudmouth"
FOG,"_ <i>Baba and the Forty Thieves</i>, story"
FOO,"Muhammad _, ex-boxer"
FOP,"Muhammad _, famous boxer"
FOR,"Muhammad _, former world boxing champion"
FOX,"Muhammad _, three times world heavyweight champion"
FOY,"_ Baba, children's story character"
FRA,"_ Baba, panto char^ac^ter"
FRO,"_ Baba, poor woodcutter in <i>The Arabian Nights</i>"
FRU,"_ MacGraw, <i>Love Story</i> actress"
FRY,"_ Mac^Graw, 1970s actress"
FUG,Each one
FUN,Every
FUR,Every one of
GAB,Every part of
GAD,Everybody
GAG,Everyone
GAL,Everything
GAP,Sum total
GAR,The lot
GAS,The whole
GAT,Totality of
GAY,Without exception
GBH,"_ <i>Quiet on the Western Front</i>, 1930 war film"
GCE,"_ <i>Quiet on the Western Front</i>, war novel"
GEE,"_ <i>Shook Up</i>, Presley song"
GEL,"_ <i>That Jazz</i>, 1979 Roy Schneider film"
GEM,"_ <i>the President's Men</i>, 1976 Redford/Hoffman film"
GEN,"_ <i>the President's Men</i>, Watergate movie"
GET,Any Swiss peak
GIA,Swiss peak
GIB,French for 'friend'
GIG,Domestic fuse unit
GIL,Elec^tric^al unit
GIN,Fuse unit
GMT,Measure of current
GNU,Measure of elec^tric^al current
GOA,Shortened form of the SI unit of current
GOB,Unit of current
GOD,Unit of elec^tric^al current
GOG,Pioneer aviator Miss Johnson
GOK,"_ Johnson, aviator"
GOO,"_ Johnson, lady pilot"
GOT,"_ Johnson, pioneer aviator"
GPS,"_ Johnson, pi^on^eer^ing woman pilot"
GRU,Also
GUM,As well as
GUN,Common con^junc^tion
GUS,Common joining word
GUT,In addition to
GUY,Plus
GYM,"_ <i>Baby Makes Three</i>, 1950 comedy"
GYP,"<i>Barbara</i> _, 1966 hit for the Beach Boys"
HAD,"<i>Barbara</i> _, Beach Boys hit"
HAG,"Adam _, 80s pop star"
HAL,"Adam _, flamboyant singer of the early 1980s"
HAM,Common insect
HAN,Communal insect
HAS,Crawling insect
HAT,Formicary insect
HAW,Hard-working insect
HAY,Hill-dwelling insect
HBO,In^dus^tri^ous insect
HEM,Insect
HEN,Insect famous for its industry
HER,Nest-making insect
HEW,Pro^verbi^al^ly in^dus^tri^ous insect
HEX,Small insect
HEY,Small termite-like insect
HGV,Social insect
HID,Termite-like insect
HIE,"_ <i>Dream Will Do</i>, Jason Donovan song"
HIM,"_ <i>Dream Will Do</i>, hit song"
HIP,"_ <i>Old Iron</i>, song"
HIS,No matter which
HIT,One of a number
HMS,Some
HMV,Whichever
HND,Whichever one
HOB,Animal very like a human
HOD,Anthropoid
HOE,"Chim^pan^zee, eg"
HOG,Copy
HOM,"Copy, mimic"
HOO,Emulate
HOP,"Gorilla, eg"
HOT,Imitate
HOW,Large simian
HOY,Mimic
HRH,"Orang-utan, eg"
HUB,Primate
HUD,Simian creature
HUE,Tree mammal
HUG,Abbreviation indicating a yearly interest charge
HUH,Abbreviation relating to yearly interest payable on loans
HUM,Yearly interest figure
HUN,Fitting
HUQ,"Fitting, suitable"
HUR,Pertinent
HUT,Relevant
HUW,"Right, fitting"
IAM,Suitable
IAN,Bent line
IBM,Cir^cum^fer^ence section
IBO,Curve
ICE,Curve section
ICI,Line of a circle
ICY,Part of a circle
IDA,Part of a curve
IDE,Portion of a circle
IDI,Portion of the cir^cum^fer^ence
IDO,Section of a circle
IDS,Section of a curve
IFI,"_ de Triomphe, Paris landmark"
III,(They) exist
IKE,(We) exist
ILK,"<i>We _ Family</i>, Sister Sledge hit"
ILL,"<i>We _ the Cham^pions</i>, Queen hit"
IMA,"<i>You _ My Sunshine</i>, song"
IMF,"<i>You _ the Sunshine of My Life</i>, Stevie Wonder hit"
IMP,"_ <i>You Being Served?</i>, classic comedy"
INC,"_ <i>You Lonesome Tonight?</i>, Elvis Presley song"
INK,Metric land measure
INN,One hundred square metres
INS,Plural of 'is'
ION,"_ <i>You Being Served?</i>, TV sitcom"
IOU,"<i>Raiders of the Lost</i> _, Harrison Ford film"
IRA,"<i>Raiders of the Lost</i> _, 1981 film"
IRE,"<i>Raiders of the Lost</i> _, film"
IRK,"<i>Schindler's</i> _, Thomas Keneally book"
ISA,Animal boat
ISM,Boat which saved the animals
ISP,Coffer
ITA,Noah's boat
ITN,Noah's craft
ITS,Noah's floating zoo!
ITV,Noah's ship
IVA,Noah's vessel
IVE,Noah's zoo boat
IVO,"_ of the Covenant, sacred chest of the Hebrews"
IVY,"<i>The Man with the Golden</i> _, Frank Sinatra film"
JAB,"<i>The Man with the Golden</i> _, Frank Sinatra melodrama"
JAG,Branch
JAI,"Costing an _ and a leg, exorbitant"
JAM,Furnish with weapons
JAN,Give weapons to
JAR,Human limb
JAW,Limb
JAY,Prepare for war
JCB,Provide weapons to
JEM,Provide with a weapon
JEN,Provide with weapons
JET,Sleeve (of a coat)
JEW,Supply with weapons
JFK,Upper limb
JIB,War service
JIG,Wartime safety rules
JIM,Wartime service
JLS,World War II warden service
JOB,Craft
JOE,Creative skill
JOG,Creativity
JON,Knack
JOT,Non-sci^en^tif^ic subject
JOY,Painting
JUG,"Painting, drawing etc"
JUS,"Painting, sculp^ture, for example"
JUT,"Painting, gen^er^al^ly"
KAA,School craft subject
KAT,School subject
KAY,Works of creative im^agin^ation
KBE,"_ Carney, American comedy actor"
KEA,"_ Gar^fun^kel, US singer"
KEG,"_ Gar^fun^kel, actor and singer"
KEL,"_ Gar^fun^kel, singer"
KEN,Aftermath of a fire
KES,Burnt remains
KEW,Burnt residue
KEY,Cigar flickings
KFC,Cig^ar^ette flickings
KGB,Cinders
KIA,Deciduous tree
KID,Dust remaining after the burning of matter
KIM,Fire remains
KIN,Fire residue
KIP,Fire's end product?
KIR,Fire's remains
KIT,"Leslie _, <i>Men Behaving Badly</i> actress"
KLM,Powder left after a fire
KOI,Powdery residue after incineration
KOP,Product of fire
KOS,Remains after burning
KYD,Remains of a bonfire
KYM,Remains of anything burnt
LAB,Smoker's flickings
LAC,Timber tree of the olive family
LAD,Tree with silvery bark
LAG,Volcanic dust
LAH,Volcanic residue
LAM,White wood
LAP,Whitish timber
LAR,Demand
LAS,Enquire
LAW,Invite
LAX,Make a request
LAY,Make enquiries
LBJ,Pose questions
LBW,Put a question
LDN,Put questions to
LEA,Question
LED,Request
LEE,Cause of Cleo^patra's death
LEG,Cleo^patra's fateful serpent
LEI,Cleo^patra's killer
LEK,Cleo^patra's snake
LEM,Horned viper
LEN,Serpent
LEO,Serpent which killed Cleopatra
LES,Small serpent
LET,Small snake
LEU,Small snake supposed to have killed Cleopatra
LEV,Species of snake
LEW,Venomous serpent
LEX,Venomous snake
LEY,Viper
LIB,Beast of burden
LID,Beast of burden or fool
LIE,Blockhead
LIL,Buffoon
LIM,Chump
LIP,Dull stupid fellow
LIT,Fool
LIU,Grey long-eared animal of the horse family
LIV,Idiot
LIZ,Consumed
LOB,Devoured
LOE,Dined
LOG,Gobbled
LOL,Gobbled up
